HDFC sec- Suzlon Energy (1QFY18)- A shock  though a positive one. Maintain BUY [CR].pdf,hdfcsec,NO,Suzlon Energy Ltd.,25,BUY,Inox Wind;Sanghvi Movers
HDFC+Warrants.pdf,Others,NO,None,NA,NA,NA
HDFC-TTK PRESTIGE-CLSA.pdf,Others,NO,None,NA,NA,NA
HDFCB-RR-260417 [CR].pdf,idbicapital,NO,HDFC Bank Ltd.,Rs1648,ACCUMULATE,HDFCB
HDFC_20180109_0000 [CR].pdf,morganstanley,NO,Housing Development Finance Corporation Ltd.,Rs2030.00,,Anil Agarwal;Sumeet Kariwala;Rahul Gupta
HDFC_Life_Annual_Report_10-11.pdf,Others,NO,None,NA,NA,NA
HFC-23_Policy-Briefing1.pdf,Others,NO,None,NA,NA,NA
HIL Ltd - IC - BP Equitiesb.pdf,Others,NO,None,NA,NA,NA
HINDALCO_INDUSTRIES_-_COMPANY_UPDATE-JUN-16-EDEL [CR].pdf,edelweissfin,NO,Hindalco Industries Ltd.,120,HOLD,NA
HSBC- Havells India Limited (HAVL IN) -eRrgrp-  Initiate at OW Lighting up the way [CR].pdf,hsbc,NO,Asian Paints Ltd.;Havells India Ltd.;Bajaj Electricals Ltd.;Symphony Ltd.;Voltas Ltd.;Berger Paints India Ltd.,333.00,,NA
HSBC- India Fertilizer - Takeaways from our meeting with key fertilizer participants.pdf,Others,NO,None,NA,NA,NA
Havells India Q1FY13 Result Update [CR].pdf,emkayglobal,NO,Havells India Ltd.,Rs600,Buy,NA
Havells India Q1FY14 Result Update [CR].pdf,emkayglobal,NO,,750.,Buy,NA
Havells Unaudited Financial Results Q3FY14.pdf,Others,NO,None,NA,NA,NA
Hester_8 Page Notice.pdf,Others,NO,None,NA,NA,NA
Hotline 93.pdf,Others,NO,None,NA,NA,NA
House of debt.pdf,Others,NO,None,NA,NA,NA
How To Make Prudent Investments For Your Organization.pdf,Others,NO,None,NA,NA,NA
Hudgins.pdf,Others,NO,None,NA,NA,NA
IBA_PF_presentation_270407.pdf,Others,NO,None,NA,NA,NA
IBU_May03.pdf,Others,NO,None,NA,NA,NA
ICICI Direct- Company Update – Bharat Electronics (Buy) errclub Reiterate [CR].pdf,icicisecurities,NO,,1560,Buy,Mun;Sagar K Gandhi
ICICI Direct- Result Update - India Cement (Buy) errclub Decline in power & fuel cost drives margins... [CR].pdf,icicisecurities,NO,,105,Buy,NA
ICICI Direct- Talwarkar BetterValue [CR].pdf,icicisecurities,NO,,172,Buy,NA
ICICI Pru Life - BAML [CR].pdf,baml,NO,Bank Of Baroda;Power Finance Corporation Ltd.;PNB Housing Finance Ltd.;State Bank Of India;The Federal Bank Ltd.;LIC Housing Finance Ltd.;HDFC Bank Ltd.;Canara Bank;Shriram Transport Finance Company Ltd.;ICICI Prudential Life Insurance Company Ltd.;Kotak Mahindra Bank Ltd.;Mahindra & Mahindra Financial Services Ltd.;Union Bank Of India;Housing Development Finance Corporation Ltd.;IndusInd Bank Ltd.;Axis Bank Ltd.;ICICI Bank Ltd.;Indiabulls Housing Finance Ltd.;Yes Bank Ltd.,400.00,BUY,Veekesh Gandhi
ICICI Prudential Life Insurance (ICIR.NS)- Correction- 10 Focus Charts – MS [CR].pdf,morganstanley,NO,ICICI Prudential Life Insurance Company Ltd.,Rs540.00,,Rahul Gupta
ICICI UBS [CR].pdf,ubs,NO,,Rs260.00,Neutral,Vishal Goyal;Ishank Kumar
ICIL_Q2FY16_Investor_Update_Presentation.pdf,Others,NO,None,NA,NA,NA
ICNT-20151028-MOSL-RU-PG012 [CR].pdf,MotilalOswal,NO,Indo Count Industries Ltd.,INR1300,Buy,Asim Dalal—who;Atul Mehra
ICNT-20170214-MOSL-RU-PG010 [CR].pdf,MotilalOswal,NO,Indo Count Industries Ltd.,INR205,Buy,PAT
ICRA Sector Updates - Indian Tractor Industry  Aug 2012.pdf,Others,NO,None,NA,NA,NA
ICRA nov 2013 [CR].pdf,edelweissfin,NO,ICRA Ltd.,1442,BUY,PAT
IDEA-20170213-MOSL-RU-PG012 [CR].pdf,motilaloswal,NO,Vodafone Idea Ltd.,NA,,Riana;Jay Gandhi
IDFC Securities- Sector update- Indian Financials - An On-ground Guide to Financial inclusion.pdf,Others,NO,None,NA,NA,NA
IDFC_-_COMPANY_UPDATE-SEP-14-EDEL [CR].pdf,edelweissfin,NO,IDFC Ltd.,181,Buy,Kunal Shah;Nilesh Parikh
IDR_ONMB_050812_10112 [CR].pdf,icicisecurities,NO,,65.3,Buy,Giese;Telephonica;Karan Mittal
IDirect_Concor_Q4FY17 [CR].pdf,icicisecurities,NO,,1370,Buy,Gati
IDirect_Greenply_IC [CR].pdf,icicisecurities,NO,,225,Buy,GIL;GIL;GIL
IDirect_InoxLeisure_Q1FY18 [CR].pdf,icicisecurities,NO,,193.0,Buy,Tubelight;Baahubali;Tubelight;Baadshaho;Zinda Hai;Inox;Inox;Inox;Inox;Inox
IDirect_NHPC_Q4FY17 [CR].pdf,icicisecurities,NO,NHPC Ltd.,6285,Hold,Kishanganga;Kishanganga;Parbati Il
IDirect_VSTTillers_Q1FY18 [CR].pdf,icicisecurities,NO,,2200,Hold,Shashank Kanodia;PAT
IDirect_eClerx_Q1FY18 [CR].pdf,icicisecurities,NO,,1145,Sell,Deepak Purswani
IFB_Industries_Ltd_080814.pdf,Others,NO,None,NA,NA,NA
IGL [CR].pdf,MotilalOswal,NO,Indraprastha Gas Ltd.,INR384,Buy,NA
IGL-20170811-MOSL-RU-PG008 [CR].pdf,MotilalOswal,NO,Indraprastha Gas Ltd.,INR1152,Neutral,NA
IIB - EDEL pdf [CR].pdf,edelweissfin,NO,Negative,,BUY,Nilesh Parikh;Kunal Shah
IIFL-+Titan-Gold+standard-ADD [CR].pdf,iiflcap,NO,,232,ADD,Arnab Mitra
INDIGO-20171124-MOSL-CU-PG016 [CR].pdf,MotilalOswal,NO,Interglobe Aviation Ltd.,INR1291,Neutral,Swarnendu Bhushan
INFDEVFC_20150909 [CR].pdf,plindia,NO,IDFC Ltd.,Rs160,,Nitin Kumar
INFO-20141205-MOSL-CU-PG010 [CR].pdf,MotilalOswal,NO,Infosys Ltd.,INR2500,Buy,Ashish Chopra;Siddharth Vora ( Siddharth;Vora
